,Title,Authors,Year,Source title,Document Type,Cited by,Abstract,Author Keywords,Affiliations,Authors with affiliations
919,Gait Planning for Biped Robot Based on Variable Center-of-Mass Height Hybrid Strategy,J. Yu; R. Zhu; D. Gong; M. Zhou; G. Zuo,2023,"2023 IEEE 13th International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)",IEEE Conferences,0,"In order to make the gait of a bipedal robot more human-like and to further improve the efficiency of energy utilisation, this paper combines preview control strategy and a knee extension strategy to design a bipedal robot gait planning method based on a variable centre-of-mass height hybrid strategy. The core idea is to achieve gait stability and coordination by controlling the robot's centre-of-mass height. Firstly, the horizontal centre-of-mass trajectory of the biped robot is generated based on Preview Control strategy with a constant centre-of-mass height; secondly, the vertical centre-of-mass trajectory is generated based on the knee joint extension strategy by trajectory planning of the robot's knee joint; finally, the horizontal and vertical centre-of-mass trajectories and foot point positions are combined by the inverse kinematics of the bipedal robot to plan the offline gait of the bipedal robot with variable centre-of-mass height. The experimental results show that the bipedal robot is able to walk smoothly with the planned gait, with better human-like characteristics, and requires less knee torque than bent knee walking mode with a constant centre of mass height, which improves energy efficiency.",,,"Beijing Key Laboratory of Computational Intelligence and Intelligent Systems, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent Systems, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent Systems, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent Systems, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Computational Intelligence and Intelligent Systems, Beijing University of Technology, Beijing, China"
920,Improved Cartographer Algorithm Based on Map-to-Map Loopback Detection,S. Yang; C. Geng; M. Li; J. Liu; F. Cui,2022,2022 6th CAA International Conference on Vehicular Control and Intelligence (CVCI),IEEE Conferences,1,"As the traditional Cartographer SLAM (Simultaneous Localization and Mapping) algorithm mainly uses Scan-to-Map method to finish loopback detection, which has limitation of single data matching and leads to loopback errors in scenes with few environmental features such as tunnels, corridors and garages. To solve this problem, an improved Cartographer algorithm based on map-to-map loopback detection is proposed in this paper. The algorithm matches the submap of the current frame with the previously generated submap, and takes advantage that the submap contains more information than the single frame to solves the matching limitation problem. In the process of detection, the algorithm improves the matching speed by preliminary matching and proposes the method of lazy decision to improve the real-time performance of the algorithm and improve the robustness of mapping. To verify the improvement effect of the algorithm improvement, the simulation results before and after the algorithm improvement are compared in Gazebo simulator. A trolley equipped with 16-wire LiDAR was established as the experimental platform, and a Raspberry Pi 4B was used as the algorithm running platform to test the indoor environment. The experimental results show that the mapping and localization effect is improved in the scenes with fewer environmental features, and meets the demand of higher accuracy (distance error is less than 0.05m, horizontal angle error is less than 0.25°).",SLAM;graph optimization;Loopback Detection;Map-to-Map;Lazy Decision,,"School of Mechanical, Electronic and Control Engineering, Beijing Jiaotong University, BeiJing, China; School of Mechanical, Electronic and Control Engineering, Beijing Jiaotong University, BeiJing, China; School of Mechanical, Electronic and Control Engineering, Beijing Jiaotong University, BeiJing, China; Contol Institute, Samy truck electrification company, Hunan, China; School of Mechanical, Electronic and Control Engineering, Beijing Jiaotong University, BeiJing, China"
921,Dynamic Output Feedback Fault Tolerant Control for Unmanned Underwater Vehicles,X. Wang; C. P. Tan,2020,IEEE Transactions on Vehicular Technology,IEEE Journals,21,"In this paper, we propose a dynamic output feedback fault tolerant control (FTC) scheme to achieve trajectory tracking for an unmanned underwater vehicle (UUV) subject to actuator faults, actuator saturation, external disturbances and other system uncertainties. To make matters more challenging, it is assumed that the velocities (linear and angular) are unavailable. In this condition, the UUV motion model in the horizontal plane has a high relative degree, thus increasing the design complexity. In contrast to observer-based FTC schemes, we introduce a dynamic compensator, which produces an augmented error system whose dynamics is minimum phase and relative degree one. An adaptive learning observer is then introduced to address the composite uncertainties arising from actuator faults, uncertain nonlinearities, actuator saturation and disturbances. We show that the proposed scheme can ensure that the trajectory tracking errors converge to a small neighbourhood around zero. Finally, a simulation example is used to prove the efficacy of the proposed scheme.",Dynamic output feedback fault tolerant control;unmanned underwater vehicle;actuator fault;trajectory tracking,,"College of Electrical Engineering and Automation, Shandong University of Science and Technology, Qingdao, China; School of Engineering and Advanced Engineering Platform, Monash University Malaysia, Bandar Sunway, Malaysia"
922,Comparison of Position and Torque Whole-Body Control Schemes on the Humanoid Robot TALOS,N. Ramuzat; G. Buondonno; S. Boria; O. Stasse,2021,2021 20th International Conference on Advanced Robotics (ICAR),IEEE Conferences,11,"Most control architectures for legged locomotion are either torque or position controlled. In this paper, we investigate their differences and performances. Aiming to choose the most appropriate scheme for the robot TALOS, we benchmark three control schemes: The first one optimizes joint velocities based on hierarchical quadratic programming; the second one optimizes joint accelerations based on weighted quadratic programming; and the last one optimizes joint torques, also based on weighted quadratic programming. We compare these controllers in terms of tracking error, energy consumption and computational time by using Gazebo simulations of the robot walking on flat horizontal ground, tilted platforms, and stairs. Remarkably, our torque control scheme allowed TALOS to walk forward at 0. 6m/s, the highest walking velocity achieved so far in simulation.",,,"Airbus, Toulouse, France; LAAS-CNRS, Universite de Toulouse, France; Airbus, Toulouse, France; LAAS-CNRS, Universite de Toulouse, France"
923,Concentration Profile Measurement of Liquid–Solid Two-Phase Horizontal Pipe Flow Using Ultrasound Doppler,H. Zhang; F. Dong; C. Tan,2023,IEEE Transactions on Instrumentation and Measurement,IEEE Journals,1,"Concentration measurement of multiphase flow is essential to flow assurance and monitoring in industrial processes. The concentration profile is a quantitative parameter to diagnose the multiphase flow states and has drawn wide attention from researchers. An ultrasound Doppler technique is adopted to measure the concentration profile of liquid–solid two-phase horizontal pipe flow. A Bayesian inference based on the differential evolution adaptive Metropolis sampling algorithm is proposed to solve the statistical inversion of the concentration profile. The posterior probability distributions of the solid concentration are sampled, and the final concentration profile is chosen with the maximum a posteriori probability. An experimental platform is built for liquid–solid two-phase flow experiments and ultrasound concentration profile measurement. The measured concentration profiles are verified with a maximum mean absolute error of 8.14%.",Bayesian inversion;concentration profile measurement;differential evolution adaptive metropolis (DREAM);liquid–solid two–phase flow;ultrasound Doppler,,"Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Tianjin University, Tianjin, China"
924,Flow State Characterization of Horizontal Oil-gas-water Three-phase flow Using Independent Slow and Steady Feature Analysis,L. Li; S. Zhang; F. Dong,2022,2022 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),IEEE Conferences,0,"To obtain gas-liquid and oil-water relationship from coupling information and characterize flow state of horizontal oil-gas-water three-phase flow, an improved blind source separation method based on independent slow and steady feature (IS2FA) analysis is developed. The pulse wave ultrasonic Doppler (PWUD) sensor is used to obtain information of gas-liquid interface, and the_resistance array sensor is used to obtain information of conductive phase. On the basis of maximizing non-Gaussianity, the temporal constraints are imposed on the optimization objective to extract temporal features since oil and gas will cause different changing speeds of signals, aiming at further clearly characterizing the oil phase and gas phase. The algorithm no longer relies solely on non-Gaussianity but also utilizes dynamics of different phase to extract features. The evolution and transition of the flow process are studied from the perspective of the general trend of interface fluctuation and phase separation information. The efficacy of the proposed algorithm is illustrated by analysis on typical oil-gas-water three-phase flow state and transition states from water-based dispersed plug flow to water-based dispersed slug flow.",oil-gas-water three-phase flow;flow state;multimodal measurement;independent slow and steady feature analysis;flow characterization,,"Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Tianjin University, Tianjin, China"
925,A Novel Robotic Seat for Stabilizing Upper Body Posture,Y. Li; Y. Fujimoto,2019,IECON 2019 - 45th Annual Conference of the IEEE Industrial Electronics Society,IEEE Conferences,0,"Nowadays, the elderly and the disabled are rapidly aging worldwide; therefore, the use of wheelchairs by the elderly and disabled continues to rise. However, many wheelchair users have difficulties adequately adjusting their sitting posture and often suffer from injurious falls, particularly, while traversing hilly roads or slowing down. In this study, a novel robotic seat is proposed to overcome these challenges, and numerical simulations are performed to verify its feasibility. The bottom of the seat is a spherical section, supported and driven by three omnidirectional wheels. An aluminum bar flanked with dumbbells is connected to the wheelchair through a universal joint as the test subject. The motion model is decoupled into two 2-D inverted pendulum models in the vertical plane and one rotation model in the horizontal plane. Two linear state feedback controllers based on the linear quadratic regulator method are used to stabilize the test subject in the vertical plane. The simulation results demonstrate the feasibility of the proposed robotic seat.",Assist robotic seat;inverted pendulum;sitting posture control,,"Department of Electrical and Computer Engineering, Yokohama National University, Yokohama, Japan; Department of Electrical and Computer Engineering, Yokohama National University, Yokohama, Japan"
926,Slow and Steady Feature Analysis Based Status Monitoring for Gas-liquid Two-phase Flow in Horizontal Pipe,L. Li; S. Zhang; F. Dong,2021,2021 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),IEEE Conferences,0,"To effectively obtain flow status information and monitor the flow status of gas-liquid two-phase flow in horizontal pipe, a status monitoring method based on slow and steady feature analysis is proposed with concurrent monitoring of steady states and process dynamics. In this method, both the first and higher order temporal constraints are imposed on feature extraction to extract the essential characteristics that reflect the flow law in different flow statuses of two-phase flow. Representation models for different typical flow regimes are established to describe the steady states and process dynamics. On this basis, by monitoring statistics, the current flow status can be monitored online and the dynamic characteristics can be detected with meaningful physical interpretation. Moreover, the dynamic monitoring statistics contain lots of derivative information which captures the overall change trend and dynamic characteristics, so this method is particularly suitable for monitoring the variations of flow status. The applications to monitoring three flow regimes and transition status from wave flow to slug flow demonstrate the feasibility and efficacy.",gas-liquid two-phase flow;status monitoring;information fusion;slow and steady feature analysis;higher order temporal constraints,,"Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Tianjin University, Tianjin, China; Tianjin Key Laboratory of Process Measurement and Control, School of Electrical and Information Engineering, Tianjin University, Tianjin, China"
927,Research on Key Technologies of Message and Service Framework for Heterogeneous Systems,J. Pan; L. Yan; H. Zhang; Z. He; T. Wang,2021,2021 5th International Conference on Power and Energy Engineering (ICPEE),IEEE Conferences,0,"With the rapid development of international leading energy Internet construction with Chinese characteristics, different message buses and service frameworks are often used for information interaction between business systems inside and outside the regulation and control center. The chimney problem between systems is significant, and there are serious information barriers. It is urgent to put forward a message and service framework for heterogeneous system ecology. The architecture described in this paper is a flexible message and service software architecture, which can be extended horizontally and compatible with messages and services of heterogeneous systems. The architecture scheme can improve the horizontal interaction ability of heterogeneous systems inside and outside the power grid dispatching control system.",heterogeneous system;bus;message service;power grid dispatching control,,"Power AutoMation Department, China Electric Power Research Institute, Nanjing, China; Dispatch control center, State Grid Shanxi Electric Power Company, Taiyuan, China; Power AutoMation Department, China Electric Power Research Institute, Nanjing, China; Dispatch control center, State Grid Shanxi Electric Power Company, Taiyuan, China; State Grid Shanxi Electric Power Research Institute, Taiyuan, China"
928,Research on Local Path Planning Algorithm Based on Frenet Coordinate System,X. Wang; H. Yu; J. Liu,2022,"2022 4th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)",IEEE Conferences,0,"Aiming at the problem of real-time trajectory planning of unmanned vehicles in highway environment, this paper proposes a local trajectory planning algorithm based on rule sampling. Taking the globally planned path as the reference line, the local trajectories are decoupled horizontally and vertically based on the Frenet coordinate system. According to the designed end sampling rules, polynomial fitting is used to generate horizontal and vertical trajectory clusters. A cost function based on horizontal and vertical evaluation is designed to rank the trajectory clusters respectively. A collision detection method based on the three-circle method is proposed. According to the sorting results, the trajectories are merged and collision detection is performed, and the optimal collision-free trajectory is output. Finally, for the obstacle avoidance scene in driving, Python is used to simulate the simplified algorithm. The experimental results show that the proposed local path planning algorithm meets the requirements of security and real-time performance.",Local planning;Horizontal and vertical sampling;Cost function;Impact checking,,"Hubei Provincial Key Laboratory of Modern Auto Parts Technology, Wuhan University of Technology Hubei Collaborative Innovation Center of Auto Parts Technology Wuhan University of Technology.Hubei New Energy and Intelligent Connected Vehicle Engineering Technology Research Center Wuhan, Wuhan, China; Hubei Provincial Key Laboratory of Modern Auto Parts Technology, Wuhan University of Technology Hubei Collaborative Innovation Center of Auto Parts Technology Wuhan University of Technology.Hubei New Energy and Intelligent Connected Vehicle Engineering Technology Research Center Wuhan, Wuhan, China; Hubei Provincial Key Laboratory of Modern Auto Parts Technology, Wuhan University of Technology Hubei Collaborative Innovation Center of Auto Parts Technology Wuhan University of Technology.Hubei New Energy and Intelligent Connected Vehicle Engineering Technology Research Center Wuhan, Wuhan, China"
929,Wildfire Fighting by Unmanned Aerial System Exploiting Its Time-Varying Mass,D. A. Saikin; T. Baca; M. Gurtner; M. Saska,2020,IEEE Robotics and Automation Letters,IEEE Journals,27,"This letter presents an approach for accurately dropping a relatively large amount of fire retardant, water or some other extinguishing agent onto a wildfire from an autonomous unmanned aerial vehicle (UAV), in close proximity to the epicenter of the fire. The proposed approach involves a risky maneuver outside of the safe flight envelope of the UAV. This maneuver exploits the expected weight reduction resulting from the release of the payload, enabling the UAV to recover without impacting the terrain. The UAV is tilted to high pitch angles, at which the thrust may be pointed almost horizontally. The vehicle can therefore achieve higher horizontal speeds than would be allowed by conventional motion planners. This high speed allows the UAV to significantly reduce the time spent close to the fire. As a result, the overall high heat exposure is reduced, and the payload can be dropped closer to the target, minimizing its dispersion. A constrained optimal control problem (OCP) is solved taking into account environmental parameters such as wind and terrain gradients, as well as various payload releasing mechanisms. The proposed approach was verified in simulations and in real experiments. Emphasis was put on the real time recalculation of the solution, which will enable future adaptation into a model predictive controller (MPC) scheme.",Aerial systems: applications;motion and path planning;optimization and optimal control,,"Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czech Republic; Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czech Republic; Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czech Republic; Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czech Republic"
930,On Kinematics of Curvilinear Nonholonomic Movement of Carriage in Horizontal Plane,G. M. Rozenblat; V. B. Yashin,2021,"2021 Systems of Signal Synchronization, Generating and Processing in Telecommunications (SYNCHROINFO",IEEE Conferences,0,"The physical aspects of the control features of the curvilinear movement of a wheeled carriage on a horizontal rough plane without lateral slippage (nonholonomic constraint) with a rotating front axle and a fixed rear axle are being studied. This study can be applied to the study of control, dynamics and simulation of wheeled robots. The question of calculating the radius of curvature of the center of mass of the carriage was raised. A common mistake about identifying the radius of curvature of the trajectory of the center of mass with the distance of this center to the instantaneous center of velocities is considered. Also another mistake associated with the concept of the radius of curvature of the trajectory of a moving vehicle and the radius of curvature of the axis of the elastic beam along which the object is moving along is considered.",analytical mechanics;kinematics;radius of curvature of the trajectory;instantaneous center of velocities,,"Moscow Automobile and Road Construction State Technical University (MADI), Moscow, Russia; Moscow Technical University of Communications and Informatics, Moscow Automobile and Road Construction State Technical University (MADI), Moscow, Russia"
931,Run-and-jump Planning and Control of a Compact Two-wheeled Legged Robot,Y. Hao; B. Lu; H. Cao; J. Dong; R. Liu,2022,2022 7th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS),IEEE Conferences,2,"With high energy efficiency and strong terrain adaptability, the two-wheeled legged robot combines the advantages of legged robots and wheeled robots. The compact mechanism enables the robot to run and jump only with four motors. However, the robot’s underactuation and instability make it difficult to achieve simultaneous run-and-jump motion. In order to solve this problem, a motion planning and control scheme is proposed. First, the dynamic model of the compact two-wheeled legged robot is established. Subsequently, the run-and-jump trajectory is planned by using nonlinear programming. In order to accurately execute the planned trajectories, two controllers are respectively designed for the jumping motion and running motion. Specifically, an impedance tracking controller is designed to achieve smooth and compliant jumping behavior under different practical conditions. On the other hand, an LQR (Linear Quadratic Regulator) controller is constructed to realize the stable running motion. The overall planning and control scheme is validated in Simscape. With the peak torque of 35 Nm for the hip motor, the run-and-jump motion can reach 20 cm jump height and 40 cm horizontal distance.",two-wheeled legged robot;run-and-jump planning;impedance tracking controller;LQR,,"Institute of Robotics and Automatic Information System Nankai University, Tianjin, China; Institute of Robotics and Automatic Information System Nankai University, Tianjin, China; Institute of Robotics and Automatic Information System Nankai University, Tianjin, China; Institute of Robotics and Automatic Information System Nankai University, Tianjin, China; Institute of Robotics and Automatic Information System Nankai University, Tianjin, China"
932,Metal-Only Reflectarray Unit Cell for Dual-Polarization Control,Á. Palomares-Caballero; C. Molero; P. Padilla; M. García-Vigueras; R. Gillard,2022,2022 16th European Conference on Antennas and Propagation (EuCAP),IEEE Conferences,0,"A metal-only reflectarray unit cell to independently control two polarizations is proposed in this paper. The unit cell is based on a nonresonant cross-shaped geometry backed by a metallic plate. Unlike previous metal-only nonresonant unit cell, the metallic arms of the proposed one are not connected to its neighboring unit cells. This fact enables the propagation of the incident wave along the longitudinal direction of the unit cell more specifically, along parallel-plate waveguides formed between unit cells. Depending on the polarization of the impinging wave, the propagation occurs in the waveguides located at vertical or horizontal directions. The simulated results for a designed unit cell at 60GHz show the independent modification of the phase response for one polarization being unaffected the phase response of orthogonal one. Moreover, phase linearity and a phase shift range over 360° are achieved along a operating frequency range with good phase stability under oblique incidence.",Dual polarization;metal-only;millimeter-waves;polarization control;reflectarray antenna,,"Departamento de Teoría de la Señal, Telemática y Comunicaciones, Universidad de Granada, Granada, Spain; Departamento de Teoría de la Señal, Telemática y Comunicaciones, Universidad de Granada, Granada, Spain; Departamento de Teoría de la Señal, Telemática y Comunicaciones, Universidad de Granada, Granada, Spain; UMR CNRS 6164, INSA Rennes, IETR, Rennes, France; UMR CNRS 6164, INSA Rennes, IETR, Rennes, France"
933,Study on Performance of Micro-friction and Its Control in MEMS,S. Zhu; M. Zheng,2019,2019 International Conference on Advanced Mechatronic Systems (ICAMechS),IEEE Conferences,0,"Friction, wear and lubrication in microscopic dimensions play a decisive role in the performance, stability and longevity of the entire MEMS system. At the micro-nano scale, surface effects will replace the inertial effect as the dominant factor. Until now, there is no simple and reliable formulas to quantify the friction behavior in MEMS systems. The mechanical properties of micro-friction are discussed in this paper, the aim of this research is to establish the simpler friction calculation formulas which based on the contact interface barrier theory and statistical methods to characterize and quantify the behavior of two nominal horizontal random rough surface contacts, then simplify the calculation of complex force system in MEMS. Under certain conditions, the calculation results of the KE model are in good agreement with ours. In addition, the friction control in MEMS is also discussed.",friction;plasticity index;interface barrier theory;gamma friction control,,"University of Electronic Science and Technology of China Zhongshan institute No.1 xueyuan road, shiqi district, zhongshan city, guangdong province, China; University of Electronic Science and Technology of China Zhongshan institute No.1 xueyuan road, shiqi district, zhongshan city, guangdong province, China"
934,Brain functional networks analysis of five fingers grasping in virtual reality environment,X. Cui; M. Liu; N. Zhang; J. Zhang; N. Wei; K. Li,2021,2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),IEEE Conferences,1,"This study investigated the effects of different center of mass (COM) of the grasping device and visual time-delay on the information interaction between brain regions during five-finger grasping process. Nine healthy right-handed subjects used five fingers to grasp a special device in a virtual reality (VR) environment. Two independent variables were set in the experiment: the COM of the grasping device and the visual delay time. Place a 50 g mass randomly at five different directions of the grasping device base. The three levels of visual delay time appear randomly. The kinematics and dynamics and electroencephalogram (EEG) signals were recorded during the experiment. The brain network was constructed based on multiplex horizontal visibility graph (MHVG). Interlayer mutual information (MI) and phase locking value (PLV) were calculated to quantify the network, while clustering coefficient (C), shortest path length (L) and overall network efficiency (E) are selected to quantify the network characteristic. Statistical results show that when the mass is located in the radial side, during the load phase of grasping, the C and E is significantly higher than that in the proximal, ulnar and medial side, and L was significantly lower than that in the proximal and radial side. This shows that when grasping an object with a COM bias on the radial side, the process of brain feedforward control has higher level of information interaction and ability and it can build stronger sensorimotor memory. It is also found that the brain network features of theta, beta and gamma bands of EEG are positively correlated, especially between beta and gamma bands, which suggests there is a coupling relationship between different bands in information processing and transmission.Clinical Relevance— This study explains the neural mechanism of grasping control from the topological structure of the whole brain network level and the informatics.",,,"Laboratory of Rehabilitation Engineering, Intelligent Medical Engineering Research Center, School of Control Science and Engineering, Shandong University, Jinan, China; Laboratory of Rehabilitation Engineering, Intelligent Medical Engineering Research Center, School of Control Science and Engineering, Shandong University, Jinan, China; Laboratory of Rehabilitation Engineering, Intelligent Medical Engineering Research Center, School of Control Science and Engineering, Shandong University, Jinan, China; Laboratory of Rehabilitation Engineering, Intelligent Medical Engineering Research Center, School of Control Science and Engineering, Shandong University, Jinan, China; Department of Geriatrics, Qilu Hospital, Shandong University, Jinan, China; Laboratory of Rehabilitation Engineering, Intelligent Medical Engineering Research Center, School of Control Science and Engineering, Shandong University, Jinan, China"
935,Prediction of Energy Consumption in Horizontal Roughing Process of Hot Rolling Strip Based on TDADE Algorithm,Y. Zhong; J. Wang; J. Xu; S. Wu; J. Rao; K. Dang,2023,IEEE Transactions on Automation Science and Engineering,IEEE Early Access Articles,0,"The steel industry is the key industry of energy consumption. The optimization of rolling process parameters is an effective measure to reduce and optimize energy consumption. Accurate energy consumption prediction has an indispensable guiding function in the planning of process parameters. However, the traditional energy consumption prediction and machine learning methods have been unable to fit the needs of high precision and reliability. Taking the horizontal roughing process (HRP) of hot rolling process as the research object, this paper mainly introduces an energy consumption prediction mechanism model (ECPMM) based on a roller adaptive wear strategy by analyzing the strip forming mechanism and rolling process. Then, two directions adaptive differential evolution (TDADE) algorithm is proposed based on a novel adaptive strategy. This algorithm has better convergence speed and global optimization ability than other optimization algorithms in the parameter optimization of ECPMM. We carried out comparative experiments on five machine learning algorithms. The results show that the ECPMM optimized by TDADE is superior to the five machine learning algorithms in prediction accuracy and stability. Finally, we conducted ablation experiments on the energy consumption characteristics of the HRP process, which turns out that using a smaller reduction and roller radius can reduce energy consumption. Summarizing the above experimental results suggests that the ECPMM has high accuracy and robustness, and satisfies the requirements of practical application. Note to Practitioners—It is necessary to carry out the deep analysis and research of energy consumption prediction involved in the process planning of strip hot rolling, the inspiration of this article is stem from this point. The commonly used energy consumption prediction methods include mechanism modeling and machine learning, but both have disadvantages, like low prediction accuracy and black box, which must have to be performed to solve by adapting the production demand of high reliability. In this paper, the combination of the mechanism model and data-driven method is used to realize the accurate prediction of energy consumption and improve the reliability of the model. To the best of our knowledge, this is the first paper about the research on energy consumption prediction of hot rolling process based on mechanism model and data-driven, especially in data size, time granularity, algorithm design, and prediction performance. Such research is helpful to guide engineers to design rolling energy consumption. We will dive a bit deeper into learning the energy consumption and process parameters during the rolling process in future studies.",Hot rolling;energy consumption;parametric optimization;machine learning;energy characteristics,,"Department of Automation, Key Laboratory of System Control and Information Processing, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Key Laboratory of System Control and Information Processing, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Key Laboratory of System Control and Information Processing, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Key Laboratory of System Control and Information Processing, Shanghai Jiao Tong University, Shanghai, China; Department of Automation, Key Laboratory of System Control and Information Processing, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information Engineering, Xi’an Technological University, Xi’an, China"
936,Design of External Damping Network and Discretization Algorithm for Long-endurance Inertial Navigation System,Y. Liu; G. Yang; Q. Cai; L. Wang; S. Wang,2020,2020 7th International Conference on Information Science and Control Engineering (ICISCE),IEEE Conferences,0,"Shipborne strapdown inertial navigation system (SINS) need to ensure long-term navigation accuracy and reliability. When SINS is used for a long time, without the assistance of external information, due to the drift of the inertial devices, the navigation results show divergent characteristics after integral operation. Horizontal damping introduces a damping network in the Schuler cycle of the system, so that the Schuler periodic oscillation error is damped. Compared with Kalman integrated navigation, the damping navigation system has better long-term stability. Through reasonable parameter settings damping network can ensure that navigation results do not diverge for a long time. This paper firstly constructs the external horizontal damping network, and then introduces bilinear transformation to derive the discretization damping method in detail. Simulation results show that the discretization damping network can ensure the reliable positioning accuracy during the long-term operation of the system, which proves that the damping network and the discretization method have broad application prospects.",Shipborne SINS;Long-term navigation;Horizontal damping network;Discretization algorithm,,"Instrumentation and Opto-Electronic Engineering, Beihang University, Beijing, China; Instrumentation and Opto-Electronic Engineering, Beihang University, Beijing, China; Instrumentation and Opto-Electronic Engineering, Beihang University, Beijing, China; Aerospace Science and Technology, Space Engineering University, Beijing, China; Instrumentation and Opto-Electronic Engineering, Beihang University, Beijing, China"
937,A Review on the Research Progress of the Tidal Stream Turbines,X. Junhui; Y. Tianchen; J. Tao,2020,"2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)",IEEE Conferences,0,"Tidal current energy is a rich Marine resource. Compared with other energy sources, it is predictable and the flow rate is stable. For horizontal axis tidal turbine, this paper expounds the development of horizontal axis tidal turbine from scientific research institutions at home and abroad, and introduces the “windmill” type, dome type, “hollow” tubular trend to turbine blade design and hydraulic performance study. This study is of certain significance to the turbine performance optimization.",Horizontal axis power flow turbine;Diversion hood type turbine;Blade design;Hydrodynamic performance,,"College of Energy and Electrical Engineering, Hohai University, Nanjing, China; College of Hydrology and Water Resource, Hohai University, Nanjing, China; Management Division of Qinhuai River Hydraulic Engineering of Jiangsu Province, Nanjing, China"
938,SINS/Odometer/Doppler Radar High-Precision Integrated Navigation Method for Land Vehicle,B. Yang; L. Xue; H. Fan; X. Yang,2021,IEEE Sensors Journal,IEEE Journals,14,"A high-precision integrated navigation method for a land vehicle using a strapdown inertial navigation system (SINS), an odometer, and Doppler radar is studied. Attitude outputs of the SINS, distance increment outputs of the odometer, and velocity outputs of Doppler radar are taken to accomplish position and velocity calculation. The error models of the odometer and Doppler radar are studied, and error models of position and velocity calculation are established. Errors including that of the SINS, odometer, and Doppler radar are taken as the system state of integrated navigation. The difference between the SINS position output and the previous position calculation output, as well as between the SINS velocity output and the previous velocity calculation output, is taken as the measurement information. On this basis, the Kalman filter algorithm is used in the design of a high-precision integrated navigation filter. The vehicle trajectory is designed and generated, and the researched navigation method is simulated and verified by MATLAB. Simulation results show that in the navigation time of 10800 s, the horizontal position accuracy is ±27.8 m, the altitude accuracy is ±11.2 m, and the error of position does not exceed 0.03% of the vehicle’s total driving distance. The horizontal attitude accuracy and heading accuracy are  $\pm 0.3^\prime $  and  $\pm 2.4^\prime $ , respectively. The horizontal and upward velocity have accuracy of ±0.05 m/s and ±0.01 m/s, respectively. When the odometer and Doppler radar fail to output for a long time, this integrated navigation method still maintains high navigation accuracy and shows superior reliability. Finally, the vehicular experiment is carried out, and the experimental results show that the actual application effect of the SINS/odometer/Doppler radar integrated navigation is as satisfactory as in the simulation experiment. During the navigation time of 3600 s, the heading error of the navigation system is less than  $\pm 2.6^\prime $ , the horizontal attitude errors are less than $\pm 0.7^\prime $ , the horizontal position errors are ±14.9 m, the altitude error is ±13.0 m.",Land vehicle navigation;odometer;Doppler radar;vehicle position calculating;vehicle velocity calculating,,"Control Engineering Department, Xi’an Research Institute of High Technology, Xi’an, China; Control Engineering Department, Xi’an Research Institute of High Technology, Xi’an, China; Control Engineering Department, Xi’an Research Institute of High Technology, Xi’an, China; Control Engineering Department, Xi’an Research Institute of High Technology, Xi’an, China"
